#dvd_title_id_f,title,release_date,award,label_id,sound_id,genre_id,rating_id,format_id
338,Beastie Boys: Sabotage ,,,95,1,15,7,2
339,Beat The Devil,,,129,1,7,4,2
340,Beatles Celebration,,,28,1,8,4,2
341,Beatles: Celebration,,,28,1,1,7,2
342,Beatles: Help! ,,,78,1,15,2,2
343,Beatles: Magical Mystery Tour ,,,78,1,15,2,2
344,Beatles: The First U.S. Visit ,,,78,1,1,4,2
345,Beatles: You Can't Do That: Making of A Hard Day's Night ,,,78,1,8,4,2
346,Beau Pere,,,48,1,9,4,8
347,Beautiful Girls,,,16,1,7,7,8
348,Beauty & the Beast: Enchanted Christmas ,,,16,1,5,2,2
349,Beauty and the Beast: Special Edition (1946),,,56,1,11,4,2
350,Beauty Investigator,,,120,1,11,4,8
351,Beavis & Butt-Head Do America,1999-11-22,,92,3,7,6,8
352,Beavis & Butt-Head:Butt-o-ween,2010-01-01,,115,7,7,4,4
353,Bed & Board,,,48,1,11,4,2
354,Bed of Roses,,,87,3,9,5,2
355,Bedroom Window,2010-01-01,,95,3,21,7,8
356,Bee Gees: One Night Only: Live,,,55,3,15,4,2
357,Bee Gees:One Night Only:Live,,,55,4,15,4,4
358,Beethoven ,,,127,1,5,5,2
359,Beethoven's 2nd ,,,127,1,7,5,8
360,"Beethoven: Symphony No. 9: Cuberli, Molinari, Cole, Grundheber, Wiener Singverein, Karajan, Berlin Philharmonic ",,,114,3,15,4,4
361,Beethoven:Missa Solemnis:Metropolitan Orch.,,,55,1,15,4,4
362,Beetlejuice ,,,134,1,7,5,2
363,Before Sunrise,,,134,7,9,7,2
364,Beginner's Yoga Essentials ,,,100,1,20,4,2
365,"Beguiled, The",,,127,1,9,7,2
366,Bela Lugosi Collection: Devil Bat & Scared to Death,,,65,1,13,4,2
367,Belle of the Nineties ,,,55,1,6,4,2
368,"Bells of St. Mary's, The ",,,106,1,9,4,2
369,Belly,,,13,3,9,7,8
370,Beloved,,,16,3,9,7,8
371,Beneath The 12 Mile Reef,,,55,1,9,4,8
372,"Bennett, Tony: MTV Unplugged: The Video",,,115,3,15,4,4
373,Berlin: Symphony of A Great City/Opus 1 (Silent),,,55,1,6,4,2
374,Berlioz: Symphonie Fantastique/Nuits D'Ete,,,55,1,6,4,2
375,Bernadette Peters in Concert,2010-01-01,,6,1,15,7,2
376,"Bernstein, Leonard: Reaching For The Note ",,,48,1,15,4,2
377,"Berry & Bo Diddley's Rock & Roll All Star Jam, Chuck ",,,95,1,15,4,2
378,"Berry, Chuck: Rock and Roll Music",,,95,1,15,4,2
379,Beshkempir:The Adopted Son ,,,48,1,11,4,2
380,Besieged:Special Edition,,,87,7,9,7,2
381,Best Bits Of Mr. Bean,1999-11-22,,127,7,22,4,4
382,Best of Action DVD: Extreme Justice/Family of Cops/Night of the Warrior/An Occasional Hell (Boxed Set) ,,,121,1,2,7,2
383,Best Of Banned From TV,,,129,1,20,4,2
384,Best Of British Cinema: 5 Decades Of Great Films,,,55,1,8,4,4
385,Best of DVD: Blood and Sand/Flashfire/A Good Day to Die/National Lampoon's Last Resort (Boxed Set) ,,,121,1,21,7,2
386,Best Of Film Noir,,,93,1,8,4,2
387,Best of Hollywood,,,101,1,1,7,2
388,Best Of Horror,,,121,1,13,7,2
389,Best of MusikLaden #1 & 2 ,,,95,1,15,4,2
390,Best of MusikLaden: America,,,95,1,15,4,2
391,Best of Musikladen: Black Sabbath ,,,95,1,15,4,2
392,Best of MusikLaden: Blondie,,,95,3,15,4,4
393,Best Of MusikLaden: Hall & Oates,,,95,1,15,4,2
394,Best Of MusikLaden: Ike & Tina Turner,,,95,1,15,4,2
395,Best Of MusikLaden: Kool & The Gang,,,95,1,15,4,2
396,Best of Musikladen: Procol Harum,,,95,1,15,4,2
397,Best of MusikLaden: Roxy Music/T-Rex,,,95,1,15,4,2
398,Best Of MusikLaden:Al Stewart,,,95,7,15,4,4
399,Best Of MusikLaden:Dr. Hook & The Medicine Show,,,95,1,15,4,2
400,Best Of MusikLaden:Ladies Of Rock,2010-01-01,,95,7,15,4,2
401,Best Of MusikLaden:Yes,,,95,7,15,4,4
402,Best of Ocean Adventures,2010-01-01,,130,1,20,4,2
403,Best of Sci-Fi DVD: Cyborg 2/Death Machine/Solar Crisis/Evolver (Boxed Set) ,,,121,1,19,7,2
404,"Best of Sessions at West 54th, Volume 1 ",,,61,1,15,4,2
405,Best of the Andy Griffith Show ,,,126,1,22,4,2
406,Best of the Blues Brothers ,,,126,1,7,7,2
407,Best Of The Chris Rock Show,,,134,1,22,4,2
408,Best of the Christmas Wonder Years ,,,28,1,22,4,2
409,Best Of The Cord:Pt. Vishwa Mohan Bhatt,,,118,1,15,4,2
410,Best of the Wonder Years ,,,28,1,22,2,2
411,Best of Times ,,,121,1,7,6,2
412,Best Years of Our Lives ,,1947,53,1,9,4,2
413,Betrayed by Innocence ,,,112,1,9,4,2
414,Betsy,,,134,3,9,7,4
415,Better Than Chocolate,,,121,7,7,4,2
416,Better Tomorrow 1,,,120,1,11,4,2
417,Better Tomorrow 2 ,,,120,1,11,4,2
418,Better Tomorrow 3 ,,,120,1,11,4,2
419,Beverly Hills Ninja,,,24,3,7,6,2
420,Beware! Children's at Play: Special Edition ,,,122,1,13,4,2
421,Beyond Suspicion,,,55,1,21,4,4
422,Beyond The Law,,,34,1,23,4,2
423,Beyond the Mind's Eye ,,,112,1,3,4,2
424,"Bicycle Thief, The ",,,55,1,11,4,2
425,Big,,,124,1,7,5,2
426,Big & Busty Centerfolds ,,,112,1,20,4,2
427,Big & Busty Covergirls/Vixens,,,29,1,20,4,2
428,Big and Busty Knockouts ,,,112,1,20,4,2
429,Big and Busty Superstars,,,112,1,20,4,2
430,Big Bad Mama,,,86,1,2,7,2
431,Big Brass Ring:Spec.Ed,,,24,7,9,7,8
432,Big Bullet ,,,120,1,11,4,8
433,Big Chill: Special Edition,,,24,1,7,7,2
434,Big City Blues,,,145,1,7,7,2
435,Big Daddy,,,24,3,7,5,2
436,Big Doll House,,,86,1,2,7,2
437,Big Easy ,,,121,1,21,7,2
438,"Big Hit, The ",,,24,1,2,7,2
439,"Big Lebowski, The ",,,99,3,6,7,2
440,Big Night ,,,24,1,9,7,8
441,Big Red One,,,134,1,2,5,2
442,Big Sleep (1946/Two Versions),2000-02-15,,134,7,21,4,2
443,Big Wars ,,,55,1,3,4,8
444,Bikini Beat 1.0,,,55,1,20,4,2
445,Bikini Bistro ,,,49,1,7,7,2
446,Bikini Carwash Company,2010-01-01,,117,1,7,7,2
